file	line	function	purpose	numeric_or_non_numeric	locale_sensitive	schema_relevant	action	test_covering_it
src/numeric_policy.cpp	79-92	std::strtod	canonical text to finite double parser	text_to_numeric_not_serializer	YES_LC_NUMERIC_RUNTIME_BOUNDARY	YES_FROZEN_NUMERIC_GRAMMAR	reviewed no change as explicitly prohibited; supported R runs retain required LC_NUMERIC C	existing numeric-policy finite-range and grammar tests
.github/recert/deep_tree_case.R	18-19,22,25,36-45,73-75,78-79,86,89	sprintf paste0 format	comb labels Newick metadata stages timings and integer results	text_integer_and_time	elapsed/timestamps can follow locale; no package token	NO_PACKAGE_SCHEMA	reviewed no package-schema change	deep-tree verifier raw-output contracts and hosted probe
.github/recert/dependency_report.R	36,47,49	write.table sprintf paste	dependency inventory and missing-package diagnostic	logical_integer_and_text	NO_OutDec_scipen	NO	reviewed no change	dependency preflight gate
.github/recert/determinism.R	94-97,101,103	sprintf paste0 writeLines	determinism status report	integer_logical_and_text	NO_OutDec_scipen	NO	reviewed no change	determinism RECERT gate
.github/recert/full_residual_authority.R	4,42,81,100-101,129,137,139-146,152-153,157-159,166,168	paste sprintf write.table writeLines	residual authority keys counts and observed character ledger	text_integer_and_character_tokens	write.table dec dot; paired tokens already canonical	NO_NEW_SERIALIZER	reviewed no change	full 407-cell residual authority gate
.github/recert/performance_benchmark.R	16,21-22,45-48,58,70,74,78-86,88,90,94,114,116,157,185,190,195	paste paste0 sprintf format write.table writeLines	benchmark Newick metadata timings and summaries	text_integer_timestamp_and_numeric_evidence	write.table dec dot; LC_NUMERIC runtime boundary	NO_PACKAGE_SCHEMA	reviewed no package-schema change	three-platform RECERT performance benchmark
.github/recert/release_metadata_gate.R	18,21,32,38,53,59,140,182,208-211,235,242,247,258	as.character paste paste0 sprintf write.table	release strings checks and result table	text_integer_and_logical	NO_OutDec_scipen	NO	reviewed no change	release metadata gate
.github/recert/session_option_invariance.R	210,224-225,234	write.table paste paste0 sprintf	FIX006 six-case evidence table and verdict	integer_logical_and_text	NO; write.table dec explicitly dot	NO_PACKAGE_SCHEMA	new gate; runtime schema tokens audited before evidence serialization	SESSION_OPTION_INVARIANCE self-report 6 of 6
tests/testthat/test-align.R	11,24,44,103-104,120,163,180,242	paste paste0 writeLines	test IDs tree fixtures raw identifiers and file fixtures	test_only_text_and_integer	NOT_RUNTIME_SCHEMA	NO_RUNTIME_PATH	reviewed no change	bundled package test suite
tests/testthat/test-mammal-external.R	70,101,107,128,159-160	paste paste0	numeric grammar regex and authority composite keys	test_only_text_and_character_tokens	NOT_RUNTIME_SCHEMA	NO_RUNTIME_PATH	reviewed no change	external 302 407 and 2275 authority tests
tests/testthat/test-oracle-recompute.R	111,150,170	sprintf paste0 paste	relabeling IDs and source-audit text	test_only_text_and_integer	NOT_RUNTIME_SCHEMA	NO_RUNTIME_PATH	reviewed no change	Oracle independent exactness tests
tests/testthat/test-paired.R	172,224,229,287,306-307	paste0 write.table as.character	test tree fixtures axes TSV and state-ledger IDs	test_only_text_integer_and_fixture_numeric	write.table test fixture only	NO_RUNTIME_PATH	reviewed no change	paired test suite
tests/testthat/test-properties.R	15,22,29,37,49,60,98-99,101,103,118,124,151,159,165	paste paste0 sprintf	generated labels canonical split keys and failure context	test_only_text_and_integer	NOT_RUNTIME_SCHEMA	NO_RUNTIME_PATH	reviewed no change	property tests
tests/testthat/test-release-metadata.R	2	as.character	installed package version assertion	version_text	NO	NO_RUNTIME_PATH	reviewed no change	release metadata test
tests/testthat/test-result.R	15	paste0	test coordinate IDs	test_only_integer_labels	NO	NO_RUNTIME_PATH	reviewed no change	result tests
tests/testthat/test-scaffold.R	16,91-93,97	paste paste0	test coordinate IDs and forbidden placeholder patterns	test_only_text_and_integer	NO	NO_RUNTIME_PATH	reviewed no change	scaffold tests
tests/testthat/test-tree-input.R	2,17,109,134	paste0 writeLines	test tree fixtures labels and file input	test_only_text_and_integer	NO	NO_RUNTIME_PATH	reviewed no change	tree-input tests
R/RcppExports.R;R/SplitAlignerR-package.R;R/data.R	N/A	targeted search zero hits	complete runtime R search for required formatter and join names	none	N/A	NO	no action required	rg source audit recorded in Fix006 evidence
src/RcppExports.cpp;src/numeric_policy.h;src/splitaligner_core.cpp	N/A	targeted serializer search zero hits	remaining C++ translation/header files	none	N/A	NO	no action required; numeric doubles return as Rcpp numeric objects	rg source audit recorded in Fix006 evidence
src	N/A	to_chars snprintf setprecision	complete C++ floating-output search	zero_hits	N/A	NO	no action required; all ostringstream and to_string hits are individually registered above	rg source audit recorded in Fix006 evidence
data-raw;vignettes	N/A	required formatter/join-name search zero hits	complete auxiliary R-source search	none	N/A	NO	no action required	rg source audit recorded in Fix006 evidence
